Sensor ID,Sensor Name,Status,Last Status Change,Public IP,South Owner,First Seen,Enabled,Disabled At,Disabled Reason,Version,In Active Working Set,Auto Update,Last Update Result,Last Update Attempt,Automatic Tags,Custom labels,OS,Domain / Workgroup,Organizational Unit,FQDN,Organization Unit (User),Microsoft Entra,Sniffer,Subnet,Has Update Available,IP,Customer Id,Product Type,Fail reason,Last Reboot,Machine ID,Agent Type,Latest Possible Version,Installation ID,Cloud Provider,Proxy address,Cloud Account ID
1242148387260438831,01HW1982787,active,2026-08-20T11:18:28.802Z,167.103.54.106, ,2022-01-04T15:48:03.949Z,true,2026-05-11T17:55:43.937Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-22T05:34:54.432Z,credential_guard;office_files;device_without_edr,Test label,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,10.57.200.0/21,false,10.57.201.28,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-14T04:36:30.000Z,4c4c4544-0034-3410-804b-cac04f314233,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
2257246376117654962,01HW1943427,active,2026-08-20T11:19:28.122Z,167.103.22.246, ,2022-01-10T05:27:02.884Z,true,2026-05-11T04:04:16.376Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-22T03:53:54.397Z,crowd_strike_falcon;zscaler_client;intune_management;spooler;credential_guard;office_files,Test label,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,192.168.31.0/24,false,192.168.31.76,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-14T05:10:50.000Z,9cc0bccc-2e37-11b2-a85c-dd0bda1b9e1c,Service,1.55.4, , , , 
1398800760045356955,01HW1963352,inactive,2026-07-21T12:21:31.585Z,205.220.19.34, ,2022-03-10T09:04:03.339Z,true,2026-07-11T11:11:29.737Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-22T15:23:54.522Z,office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,192.168.1.0/24,false,192.168.0.100,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-07-20T06:22:44.000Z,4c4c4544-0056-5610-8037-b3c04f543933,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
11874822370616705977,01hw1949804,inactive,2026-08-18T09:25:48.970Z,205.220.19.44, ,2022-03-11T11:23:02.153Z,true,2025-12-23T04:42:29.286Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-23T06:26:55.084Z,office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,192.168.1.0/24,false,192.168.1.42,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-06T09:09:23.000Z,383456ef-cd05-3790-d621-e9ad7b342231,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
2827213514880846204,01HW2135880,active,2026-08-20T10:47:30.416Z,167.103.6.245, ,2022-03-11T12:02:19.289Z,true,2024-07-21T05:44:03.333Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-22T11:54:54.495Z,crowd_strike_falcon;zscaler_client;intune_management;spooler;credential_guard;office_files,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,10.26.224.0/20,false,10.26.239.81,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-20T06:22:29.000Z,4c4c4544-0037-3410-8036-b7c04f4e4733,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
9172623758494561878,01HW2012266,inactive,2026-08-20T11:11:07.227Z,167.103.27.35, ,2022-03-11T12:03:38.403Z,true,2026-08-15T04:47:12.205Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-22T11:54:54.495Z,credential_guard;office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,10.59.176.0/20,false,10.50.66.40,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-19T04:30:28.000Z,dba8f57a-63cd-4290-9fa5-aba7f9286422,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
18176153403510688962,01HW1949792,active,2026-08-20T11:24:53.089Z,167.103.186.125, ,2022-03-11T12:40:09.215Z,true,2026-03-19T06:44:23.477Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-23T03:28:55.051Z,credential_guard;office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,10.56.48.0/20,false,10.56.175.61;10.56.61.214,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-17T04:11:32.000Z,2934c090-0c36-29f5-277f-e2c995efcbef,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
13731182361490755624,01HW1903351,active,2026-08-20T10:58:32.517Z,205.220.19.24, ,2022-03-11T14:35:15.592Z,true,2025-12-25T04:12:30.729Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-22T06:21:54.443Z,credential_guard;office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,10.116.239.0/24,false,10.18.54.48;10.178.58.186,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-18T05:41:21.000Z,4c4c4544-0031-4d10-8037-b8c04f593933,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
4527642170123567266,01HW2084085,inactive,2026-08-20T06:20:27.224Z,205.220.19.32, ,2022-03-12T03:46:12.464Z,true,2026-01-03T04:52:35.450Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-23T08:14:55.122Z,credential_guard;office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,172.22.90.0/27,false,192.168.29.38,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-17T05:04:41.000Z,297424cc-3574-11b2-a85c-e52b7c47a9b5,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
715428800145205042,01HW2135849,active,2026-08-20T11:06:18.508Z,205.220.19.15, ,2022-03-12T06:45:27.219Z,true,2026-02-21T04:18:05.244Z,revivedByCmNodeMgr,1.55.4,true,true,Updated Successfully,2026-06-26T05:48:56.888Z,credential_guard;office_files;device_without_edr,,Windows 11 ver 25H2,workgroup,workgroup, ,workgroup,TCS COM PROD,Active,172.22.93.96/27,false,192.168.1.3;172.22.93.98,9412b02d-a1d1-40d6-ab9b-633195134bbe,Workstation, ,2026-08-17T05:39:51.000Z,4c4c4544-0030-3510-8056-c6c04f4d4733,Service,1.55.4, , ,http://gateway.zscalerthree.net:443, 
